@relation output_tweet_train

@attribute topicazo {twitter,google,apple,microsoft}
@attribute classs {positive,negative,neutral,irrelevant}
@attribute TweetText string

@data
twitter,negative,'I feel all alone on twitter itstolate'
google,positive,'jessecablek I want it too Now just wondering who will be carrying it in November Or direct purchase from google samsung'
apple,neutral,'Why didn t Apple merge the address and search bars in Safari ala Crome in iOS 5 simplethings'
twitter,positive,'Gotta love Twitter shit goes round the World like lightning on speed'
twitter,neutral,'Twitter it s been a pleasure but I have to go exercise and eat dinner Possibly be back b4 I sleep We ll c I am BLESSED we all are'
apple,positive,'Incredible 4 million iPhone 4Ss in 3 days 135 better than the iPhone 4 http t co 1FMJxTMM apple iphone4s'
google,irrelevant,'RT wireditalia Twitter 250milioni di cinguettii al giorno e un valore di 8miliardi di Tempi duri per Facebook e Google http'
apple,neutral,'Video SIRI also gets angry http t co Ku288WX6 chrisvoss apple apple siri iphone4S Ai'
apple,neutral,'Apple Not Likely to Win Appstore Suit Case Against Amazon http t co GNcDGQsc'
google,positive,'Register now for your Galaxy Nexus http t co 37WkIoXC Android Google'
google,neutral,'On Google then go here http t co SxmLkaRR GPlus Googleplus Google teamfollowback socialnetwork'
microsoft,negative,'When Microsoft violated U S antitrust laws leaving Netscape out of business Novell wounded it played dumb http t co 0WHHmAK4'
apple,negative,'if u need me just text me o wait u i wont get it cuz apple fucks me every time fuckingpissed'
google,neutral,'http t co Pl4ZeEvH Android 4 0 SDK now available google android http t co sVlrVxTR'
microsoft,neutral,'Job ICT System Engineer m w planova human capital ag Luzern http t co 2PJo4Dqr Microsoft IT'
microsoft,neutral,'Everything Can Be A Digital http t co fG0wfyWl microsoft carnegiemellon'
google,neutral,'OccupyWallSt Apple stock DOWN despite iPhone monumental SALES ocuupy GOOGLE Verizon i smell a conspiracy'
google,neutral,'New Galaxy Nexus App Improvements New People App to improve contact information nexus samsung google android bit ly nEJbyE'
microsoft,irrelevant,'Estava ali na MICROSOFT tomando um cafezinho D'
microsoft,neutral,'Check out our newly revamped Testimonials page for more information on how Microsoft Dynamics CRM can work for you http t co hmT51bdf'
microsoft,irrelevant,'malisimo el intento de google maps de microsoft'
twitter,neutral,'Goodnight everyone twitter off'
google,positive,'This Data Usage feature looks amazing on ICS android samsung google GALAXYNexus'
google,neutral,'Google search to have default encryption http t co rwgKPbGu'
microsoft,neutral,'Watching this week s episode of Hawaii Five O Great use of Windows Phone 7 SkyDrive Oh yeah a Dell Inspiron Duo was there too microsoft'
google,irrelevant,'AsiaClassifiedToday Point Park summit reflects Asian culture The Globe Point Park summit http t co fBdw211P asia google ads'
apple,negative,'Hey apple the SMS full message is complete shit Yes I m annoyed'
twitter,irrelevant,'Visualiza tus emails menciones en twitter eventos de facebook y m s desde Centro de notificaciones de IOS 5 http t co BsFmwKFH'
apple,neutral,'Follow me and I follow you iOS5 fansoflilwayne follow apple'
twitter,irrelevant,'Ganun Di ba kasama ang wit lol RT RobyQQ Your Twitter followers either like you for your sense of humor or sex appeal'
